No,Word,Parts of Speech,IPA,Vietnamese,Example
1,AM (ante meridiem),adv,/ˌeɪ ˈem/,Sáng (trước 12h trưa),"The school bus arrives at 7 a.m. every morning. 
(Xe buýt trường học đến vào lúc 7 giờ sáng mỗi ngày.)"
2,across,prep,/əˈkrɔːs/,"Băng qua, ở bên kia","The kids ran across the bridge to get to the park. 
(Lũ trẻ chạy băng qua cây cầu để đến công viên.)"
3,act,v,/ækt/,"Đóng vai, diễn","My friend wants to act as a brave king in the school play. 
(Bạn của tôi muốn đóng vai một vị vua dũng cảm trong vở kịch trường.)"
4,actor,n,/ˈæktər/,Nam diễn viên,"He is a famous actor in many funny adventure movies. 
(Chú ấy là một nam diễn viên nổi tiếng trong nhiều bộ phim phiêu lưu hài hước.)"
5,actually,adv,/ˈæktʃuəli/,"Thực ra, thực sự","I thought the test was hard, but actually, it was quite easy. 
(Tớ đã nghĩ bài kiểm tra khó, nhưng thực ra nó khá là dễ.)"
6,adventure,n,/ədˈventʃər/,Cuộc phiêu lưu,"We had a great adventure exploring the forest yesterday. 
(Chúng tớ đã có một cuộc phiêu lưu tuyệt vời khi khám phá khu rừng ngày hôm qua.)"
7,after,prep,/ˈæftər/,"Sau khi, phía sau","Let’s play football after we finish our homework. 
(Chúng mình hãy cùng chơi bóng đá sau khi làm xong bài tập về nhà nhé.)"
8,ago,adv,/əˈɡoʊ/,Cách đây,"The dinosaurs lived on Earth a long time ago. 
(Khủng long đã sống trên Trái Đất từ rất lâu về trước.)"
9,agree,v,/əˈɡriː/,Đồng ý,"I agree with you; this cake is the most delicious one! 
(Tớ đồng ý với bạn; chiếc bánh này là chiếc ngon nhất luôn!)"
10,air,n,/er/,Không khí,"Let's open the window to get some fresh air. 
(Hãy mở cửa sổ ra để đón chút không khí trong lành nào.)"
11,airport,n,/ˈerpɔːrt/,Sân bay,"We are going to the airport to catch a plane to London. 
(Chúng mình đang đi đến sân bay để bắt máy bay đi Luân Đôn.)"
12,alone,adj/adv,/əˈloʊn/,Một mình,"Do you feel scared when you stay at home alone? 
(Bạn có thấy sợ khi ở nhà một mình không?)"
13,already,adv,/ɔːlˈredi/,"Rồi, đã... rồi","I have already finished my homework, so I can play now. 
(Tớ đã làm xong bài tập về nhà rồi, nên giờ tớ có thể đi chơi.)"
14,also,adv,/ˈɔːlsoʊ/,"Cũng, ngoài ra","She likes singing and she also plays the piano very well. 
(Cô ấy thích hát và cô ấy cũng chơi đàn piano rất giỏi nữa.)"
15,amazing,adj,/əˈmeɪzɪŋ/,"Kinh ngạc, tuyệt vời","The magic show was amazing! Everyone clapped their hands. 
(Buổi biểu diễn ảo thuật thật tuyệt vời! Mọi người đều vỗ tay.)"
16,ambulance,n,/ˈæmbjələns/,Xe cấp cứu,"The ambulance took the injured man to the hospital quickly. 
(Xe cấp cứu đã đưa người bị thương đến bệnh viện một cách nhanh chóng.)"
17,anyone,pron,/ˈeniwʌn/,Bất cứ ai,"Does anyone know the answer to this difficult question? 
(Có ai biết câu trả lời cho câu hỏi khó này không?)"
18,anything,pron,/ˈeniθɪŋ/,Bất cứ thứ gì,"You can buy anything you want for your birthday present. 
(Con có thể mua bất cứ thứ gì con muốn để làm quà sinh nhật.)"
19,anywhere,adv,/ˈeniwer/,Bất cứ đâu,"I can't find my keys anywhere. Have you seen them? 
(Tớ không thể tìm thấy chìa khóa ở bất cứ đâu cả. Bạn có thấy chúng không?)"
20,appear,v,/əˈpɪr/,Xuất hiện,"A beautiful rainbow often appears after a heavy rain. 
(Một cầu vồng đẹp thường xuất hiện sau một cơn mưa lớn.)"
21,April,n,/ˈeɪprəl/,tháng Tư,"April is the fourth month of the year. 
(Tháng Tư là tháng thứ tư trong năm.)"
22,arrive,v,/əˈraɪv/,Đến nơi,"What time does the train arrive at the station? 
(Mấy giờ thì tàu hỏa đến ga vậy?)"
23,art,n,/ɑːrt/,"Nghệ thuật, mỹ thuật","We draw and paint colorful pictures in our art class. 
(Chúng tớ vẽ và tô những bức tranh đầy màu sắc trong tiết mỹ thuật.)"
24,artist,n,/ˈɑːrtɪst/,"Họa sĩ, nghệ sĩ","The artist is painting a beautiful picture of the sea. 
(Vị họa sĩ đang vẽ một bức tranh tuyệt đẹp về biển.)"
25,as,prep/conj,/æz/,"Như là, khi","She works as a doctor in a big hospital in the city. 
(Cô ấy làm việc như một bác sĩ tại một bệnh viện lớn trong thành phố.)"
26,as... as,structure,/æz... æz/,Bằng như,"This blue robot is as big as the red one. 
(Con rô-bốt màu xanh này to bằng con màu đỏ.)"
27,astronaut,n,/ˈæstrənɔːt/,Phi hành gia,"The astronaut traveled to the moon in a huge rocket. 
(Phi hành gia đã du hành lên mặt trăng trên một con tàu vũ trụ khổng lồ.)"
28,at the moment,idiom,/æt ðə ˈmoʊmənt/,Ngay lúc này,"I am busy at the moment; can I call you back later? 
(Bây giờ tớ đang bận; tớ có thể gọi lại cho bạn sau được không?)"
29,August,n,/ˈɔːɡəst/,tháng Tám,"It is very hot in August. 
(Trời rất nóng vào tháng Tám.)"
30,autumn (US fall),n,/ˈɔːtəm/ (fɔːl),Mùa thu,"In autumn, the leaves change color and fall from the trees. 
(Vào mùa thu, lá cây đổi màu và rụng xuống khỏi cây.)"
31,away,adv,/əˈweɪ/,"Xa, đi xa","The bird flew away when I tried to touch it. 
(Con chim đã bay đi mất khi tớ cố gắng chạm vào nó.)"
32,backpack (UK rucksack),n,/ˈbækpæk/,Ba lô,"I put my books and lunchbox into my new backpack. 
(Tớ để sách và hộp cơm trưa vào trong chiếc ba lô mới của mình.)"
33,bandage,n,/ˈbændɪdʒ/,Băng gạc (y tế),"The nurse put a bandage on my knee because I fell down. 
(Cô y tá đã quấn băng gạc lên đầu gối của tớ vì tớ bị ngã.)"
