No,Word,Parts of Speech,IPA,Vietnamese,Example
1,adolescence ,N,/ˌædəˈlesns/,thời thanh niên,"The challenges of adolescence can shape a person's future.
(Những thách thức của tuổi vị thành niên có thể định hình tương lai của một người.)"
2,adulthood,N,/əˈdʌlthʊd/,tuổi trưởng thành,"Entering adulthood often means taking on more responsibilities and making important life decisions.
(Bước vào tuổi trưởng thành thường có nghĩa là phải đảm nhận nhiều trách nhiệm hơn và đưa ra những quyết định quan trọng trong cuộc sống.)"
3,bond,N,/bɑːnd/,"sự liên kết, cổ phần (giữa nhà đầu tư và công ty)","Shared experiences can create strong bonds between people.
(Những trải nghiệm chung có thể tạo nên mối liên kết bền chặt giữa mọi người.)"
4,brotherhood,N,/ˈbrʌðərhʊd/,tình anh em,"Our brotherhood remains eternal despite the hardships of life.
(Tình anh em của chúng ta vẫn trường tồn bất chấp những khó khăn của cuộc sống.)"
5,character ,N,/ˈkærəktər/,tính cách,"My character was defined by kindness, integrity, and a deep sense of responsibility.
(Tính cách của tôi được thể hiện qua lòng tốt, sự chính trực và tinh thần trách nhiệm sâu sắc.)"
6,childhood,N,/ˈtʃaɪldhʊd/,thời thơ ấu,"My childhood memories were filled with joy and laughter.
(Ký ức tuổi thơ của tôi tràn ngập niềm vui và tiếng cười.)"
7,conflict,N,/ˈkɑːnflɪkt/,sự xung đột,"The conflict between the two nations escalated into a full-scale war, causing immense suffering.
(Cuộc xung đột giữa hai quốc gia đã leo thang thành một cuộc chiến tranh toàn diện, gây ra đau khổ vô cùng.)"
8,connection ,N,/kəˈnekʃn/,sự kết nối,"My husband and I formed deep connections through our shared passion for astronomy & instrumental music.
(Chồng tôi và tôi đã hình thành mối liên hệ sâu sắc thông qua niềm đam mê chung của chúng tôi dành cho thiên văn học và nhạc không lời.)"
9,fatherhood,N,/ˈfɑːðərhʊd/,"cương vị làm cha,
việc làm cha, tình cha","Fatherhood involves responsibilities such as love, attention, understanding, meeting needs, and being a role model for children.
(Cương vị làm cha bao gồm những trách nhiệm như tình yêu thương, sự quan tâm, sự thấu hiểu, đáp ứng nhu cầu và trở thành tấm gương cho con cái.)"
10,friendship ,N,/ˈfrendʃɪp/,tình bạn,"They formed a close friendship for the first time meeting each other.
(Họ đã hình thành một tình bạn thân thiết ngay lần đầu tiên gặp nhau.)"
11,instinct ,N,/ˈɪnstɪŋkt/,bản năng,"Animals often rely on their instincts to survive in the wild.
(Động vật thường dựa vào bản năng để sinh tồn trong tự nhiên.)"
12,interaction,N,/ˌɪntərˈækʃn/,sự tương tác,"The interaction between the teacher and students in the classroom was both engaging and educational.
(Sự tương tác giữa giáo viên và học sinh trong lớp học vừa hấp dẫn vừa mang tính giáo dục.)"
13,motherhood,N,/ˈmʌðərhʊd/,"việc làm mẹ
tình mẹ
bổn phận làm mẹ","Motherhood changed her life in many beautiful ways.
(Thiên chức làm mẹ đã thay đổi cuộc sống của cô ấy theo nhiều cách tốt đẹp.)"
14,nature ,N,/ˈneɪtʃər/,"tự nhiên
thiên nhiên
tạo hoá","Spending time in nature helps people to feel more grounded.
(Dành thời gian ở thiên nhiên giúp mọi người cảm thấy bình tĩnh hơn.)"
15,parent ,N,/ˈperənt/,cha mẹ,"Being a parent requires patience, sacrifice, and unconditional love for your children.
(Làm cha mẹ đòi hỏi sự kiên nhẫn, hy sinh và tình yêu vô điều kiện dành cho con cái.)"
16,relation ,N,/rɪˈleɪʃn/,mối quan hệ,"Maintaining positive relations with people around you is important.
(Duy trì mối quan hệ tích cực với mọi người xung quanh là điều quan trọng.)"
17,relationship (between/with),N,/rɪˈleɪʃnʃɪp/,mối quan hệ,"The relationship between the two countries has improved significantly after years of diplomacy and cooperation.
(Mối quan hệ giữa hai nước đã được cải thiện đáng kể sau nhiều năm ngoại giao và hợp tác.)"
18,relative ,N,/ˈrelətɪv/,bà con họ hàng,"On the anniversary of their ancestors' death, they met their distant relatives again.
(Vào ngày giỗ của tổ tiên, họ gặp lại những người họ hàng xa của mình.)"
