No,Word,Parts of Speech,IPA,Vietnamese,Example
1,above,prep,/əˈbʌv/,ở trên,"The helicopter is flying above the clouds. 
(Chiếc trực thăng đang bay trên những đám mây.)"
2,address,n,/ˈædres/,địa chỉ,"Can you write your address on this paper? 
(Bạn có thể viết địa chỉ của mình vào tờ giấy này không?)"
3,afraid,adj,/əˈfreɪd/,sợ hãi,"Don't be afraid of the big dog; it's very friendly. 
(Đừng sợ con chó lớn đó; nó rất thân thiện.)"
4,after,prep,/ˈæftər/,sau khi,"We can play football after school. 
(Chúng mình có thể đá bóng sau giờ học.)"
5,age,n,/eɪdʒ/,tuổi,"At the age of 20, he started his own business. 
(Ở tuổi 20, anh ấy đã bắt đầu công việc kinh doanh riêng.)"
6,all,adj + adv + det + pron,/ɔːl/,tất cả,"All students must wear uniforms. 
(Tất cả học sinh đều phải mặc đồng phục.)"
7,all right,adj + adv,/ˌɔːl ˈraɪt/,"ổn, được","Is your leg all right now? 
(Cái chân của bạn bây giờ đã ổn chưa?)"
8,always,adv,/ˈɔːlweɪz/,luôn luôn,"She always brushes her teeth before bed. 
(Cô ấy luôn luôn đánh răng trước khi đi ngủ.)"
9,another,det + pron,/əˈnʌðər/,"một cái khác, nữa","Would you like another apple? 
(Bạn có muốn ăn thêm một quả táo nữa không?)"
10,any,det + pron,/ˈeni/,"bất cứ, nào","Do you have any pencils in your bag? 
(Trong cặp của bạn có cái bút chì nào không?)"
11,at,prep of ti:me,/æt/,tại (thời gian/địa điểm),"See you at 7 o'clock! 
(Hẹn gặp bạn lúc 7 giờ nhé!)"
12,aunt,n,/ænt/,"dì, cô, bác gái, thím, mợ","My aunt gives me a beautiful doll. 
(Dì của mình tặng cho mình một con búp bê rất đẹp.)"
13,awake,adj,/əˈweɪk/,"thức, tỉnh giấc","The baby is still awake. 
(Em bé vẫn còn thức.)"
14,back,adj + adv + n,/bæk/,"phía sau, trở lại","Put the book back on the shelf. 
(Hãy cất cuốn sách trở lại giá sách.)"
15,bad,adj,/bæd/,"tồi tệ, xấu","Eating too much candy is bad for your teeth. 
(Ăn quá nhiều kẹo thì có hại cho răng của bạn.)"
16,badly,adv,/ˈbædli/,một cách tồi tệ,"He played the piano very badly. 
(Anh ấy chơi đàn piano rất tệ.)"
17,balcony,n,/ˈbælkəni/,ban công,"There are many flowers on the balcony. 
(Có rất nhiều hoa ở ngoài ban công.)"
